,name,PA,PM,(dommages Neutre),Portée,Force,Sagesse,Intelligence,Puissance,Échangeable :,-special spell-,Attitude,Vitalité,% Critique,Dommages Feu,Dommages Air,Dommages Terre,Dommages Eau,Dommages Neutre,% Résistance Terre,% Résistance Eau,% Résistance Feu,% Résistance Neutre,% Résistance Air,Dommages,Prospection,Résistances Eau,Résistances Air,Résistances Feu,Chance,Agilité,Résistances Terre,Résistances Neutre,Initiative,(dommages Air),(vol Neutre),(dommages Terre),Dommages Poussée,Invocation,(dommages Feu),(vol Eau),Soins,Arme de chasse,(dommages Eau),Fuite,Invocations,Tacle,Retrait PM,Dommages Pièges,Puissance (pièges),(vol Air),Renvoie dommages,Résistances Critiques,(vol Feu),(soins Feu),(vol Terre),Dommages Critiques,Pods,Esquive PM,Esquive PA,Résistances Poussée,Retrait PA,Dommage Terre,Dommage Feu,Dommage Air,Réduit le coût en PA du sort de,Augmente la portée maximale du sort de,Augmente le nombre de lancers maximal par tour du sort de,Rend la portée du sort modifiable,Augmente les Critiques du sort de%,Désactive le lancer en ligne du sort,Désactive la ligne de vue du sort,Réduit l'intervalle de relance du sort de,Augmente le nombre de lancers maximal par cible du sort de,Augmente les Dommages fixes du sort de,Titre :,Quelqu'un vous suit !,Lié au personnage,% Dommages mêlée,% Résistance mêlée,% Résistance distance,% Dommages distance,% Dommages d'armes,% Dommages aux sorts,Craft coopératif impossible.,Utilisations restantes : /,% Résistance aux armes,(dommages Meilleur élément),Ajouter un sort temporaire,ankama_id,type,level,image_urls
296,Arc à Chon,,,18.0,,,40.0,,,,,,200.0,5.0,,,,,,,,,,,10.0,20.0,,10.0,10.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8924.0,"{'name': 'Arc', 'id': 39}",147.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/2059.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/2059-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/2059-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/2059-800.png'}"
297,Arc Oleptik,,,,1.0,,30.0,50.0,,,,,200.0,,,,,,,,,6.0,,6.0,7.0,20.0,,,,,50.0,,,400.0,19.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8925.0,"{'name': 'Arc', 'id': 39}",185.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/2060.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/2060-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/2060-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/2060-800.png'}"
298,Dagues Adou,,,,,50.0,40.0,,,,,,200.0,,,,,,,,,,,,6.0,20.0,,10.0,10.0,50.0,50.0,,,,13.0,2.0,,,,,,,,13.0,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8926.0,"{'name': 'Dague', 'id': 93}",175.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/5065.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/5065-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/5065-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/5065-800.png'}"
299,Dagues Eudin,,,14.0,,50.0,,,,,,,200.0,4.0,,,,,,10.0,,,,,10.0,10.0,,,,,50.0,,,400.0,,,10.0,,,,,,,,,,,,20.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8927.0,"{'name': 'Dague', 'id': 93}",171.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/5066.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/5066-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/5066-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/5066-800.png'}"
300,Dagues Ruik,,,20.0,,,30.0,,,,,,250.0,5.0,,,,,,,,,10.0,,10.0,,,,,,50.0,,10.0,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8928.0,"{'name': 'Dague', 'id': 93}",158.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/5067.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/5067-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/5067-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/5067-800.png'}"
301,Kriss Toubal,,,,,,30.0,50.0,,,,,200.0,4.0,,,,,,,,,,,6.0,20.0,10.0,,10.0,50.0,30.0,,,,,,,,,,6.0,,,,,2.0,,,,,,,,6.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8929.0,"{'name': 'Dague', 'id': 93}",149.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/5068.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/5068-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/5068-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/5068-800.png'}"
302,Fuschia,,,,1.0,,40.0,50.0,,,,,200.0,,,,,,,,,8.0,,8.0,,,,,,,50.0,,,,28.0,,,,,28.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8930.0,"{'name': 'Épée', 'id': 80}",163.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6078.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6078-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6078-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6078-800.png'}"
303,Az'tech,0.0,,50.0,,50.0,30.0,,,,,,150.0,,,,,,,,7.0,,,7.0,5.0,15.0,,,,50.0,50.0,,,,,,,,,,8.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8931.0,"{'name': 'Épée', 'id': 80}",186.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6079.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6079-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6079-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6079-800.png'}"
304,Kukri Kura,,,21.0,,50.0,40.0,,,,,,200.0,3.0,,,,,,,,,10.0,,7.0,15.0,,,,,30.0,,10.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8932.0,"{'name': 'Épée', 'id': 80}",179.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6080.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6080-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6080-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6080-800.png'}"
305,Hache Sueur Rance,,,30.0,,45.0,40.0,,,,,,200.0,7.0,,,,,,,,,,,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8933.0,"{'name': 'Hache', 'id': 73}",162.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/19049.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/19049-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/19049-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/19049-800.png'}"
306,Hache Harnée,,,,1.0,,40.0,40.0,,,,,150.0,,,,,,,,7.0,7.0,,7.0,,20.0,,,,40.0,40.0,,,,19.0,,,,,19.0,,,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8934.0,"{'name': 'Hache', 'id': 73}",158.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/19050.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/19050-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/19050-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/19050-800.png'}"
307,La Bêche à Mel,,,,1.0,,40.0,50.0,,,,,150.0,,,,,,,,8.0,8.0,,,10.0,15.0,,,,50.0,,,,,,,,,,10.0,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8935.0,"{'name': 'Pelle', 'id': 52}",172.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/8048.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/8048-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/8048-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/8048-800.png'}"
308,Pelle Shattkitou,,,34.0,,,40.0,,10.0,,,,100.0,5.0,,,,,,,,,,7.0,5.0,20.0,,7.0,,40.0,40.0,,,,,,,,,,,,0.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8936.0,"{'name': 'Pelle', 'id': 52}",136.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/8049.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/8049-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/8049-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/8049-800.png'}"
309,Pelle Aigante,,,,,50.0,,50.0,,,,,200.0,,,,,,,7.0,,7.0,,,,20.0,,,,40.0,,,,300.0,,,27.0,,,27.0,,7.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8937.0,"{'name': 'Pelle', 'id': 52}",155.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/8050.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/8050-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/8050-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/8050-800.png'}"
310,Patte d'Ecaflip,,,21.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8941.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6082.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6082-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6082-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6082-800.png'}"
311,Patte d'Ecaflip,,,23.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8956.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6082.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6082-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6082-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6082-800.png'}"
312,Patte d'Ecaflip,,,25.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8957.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6082.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6082-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6082-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6082-800.png'}"
313,Patte d'Ecaflip,,,27.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8958.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6082.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6082-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6082-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6082-800.png'}"
314,Patte d'Ecaflip,,,29.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8959.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6082.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6082-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6082-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6082-800.png'}"
315,Patte d'Ecaflip,,,31.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8960.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6082.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6082-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6082-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6082-800.png'}"
316,Patte d'Ecaflip,,,33.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8961.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6082.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6082-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6082-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6082-800.png'}"
317,Patte d'Ecaflip,,,35.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8962.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6082.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6082-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6082-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6082-800.png'}"
318,Patte d'Ecaflip,,,37.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8963.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6082.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6082-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6082-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6082-800.png'}"
319,Patte d'Ecaflip,,,39.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8964.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6082.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6082-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6082-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6082-800.png'}"
320,Patte d'Ecaflip,,,41.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8965.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6082.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6082-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6082-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6082-800.png'}"
321,Patte d'Ecaflip Parfaite,,,50.0,,70.0,40.0,,,0.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8966.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6081.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6081-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6081-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6081-800.png'}"
322,Casque du Bitouf Aérien,,1.0,,,,30.0,,,,,,200.0,,,,,,,,,,,,7.0,20.0,6.0,6.0,6.0,,,6.0,6.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8989.0,"{'name': 'Chapeau', 'id': 27}",154.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16209.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16209-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16209-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16209-800.png'}"
323,Annolamour,,,,,50.0,50.0,,20.0,,,,250.0,,,,,,,,,,,,10.0,15.0,10.0,,10.0,50.0,,,,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8991.0,"{'name': 'Anneau', 'id': 17}",189.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9145.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9145-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9145-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9145-800.png'}"
324,Faux Maudite du Saigneur Guerrier,,,18.0,,40.0,40.0,40.0,,,,,40.0,,,,,,,5.0,5.0,5.0,5.0,5.0,,,,,,40.0,40.0,,,,18.0,,18.0,,,18.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8992.0,"{'name': 'Faux', 'id': 163}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/22003.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/22003-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/22003-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/22003-800.png'}"
325,Épée Maudite du Saigneur Guerrier,,,18.0,,30.0,30.0,30.0,,,,,165.0,,,,,,,5.0,5.0,5.0,5.0,5.0,,,,,,30.0,30.0,,,,18.0,,18.0,,,18.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8993.0,"{'name': 'Épée', 'id': 80}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6083.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6083-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6083-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6083-800.png'}"
326,Ougarteau,,,35.0,,,40.0,,40.0,,,,400.0,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9117.0,"{'name': 'Marteau', 'id': 42}",180.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/7067.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/7067-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/7067-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/7067-800.png'}"
327,Ougamulette,1.0,,,,,50.0,,40.0,,,,300.0,,,,,,,,10.0,,,,7.0,20.0,,,,,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9130.0,"{'name': 'Amulette', 'id': 33}",181.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1127.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1127-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1127-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1127-800.png'}"
328,Anneau Colerette,,,,1.0,,40.0,,,,,,150.0,,,,,,,,10.0,,,,7.0,20.0,10.0,,,,50.0,10.0,10.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9131.0,"{'name': 'Anneau', 'id': 17}",188.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9146.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9146-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9146-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9146-800.png'}"
329,Anneau Chevelu,,,,,50.0,25.0,,,,,,200.0,4.0,,,,,,10.0,,,10.0,,5.0,20.0,10.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9132.0,"{'name': 'Anneau', 'id': 17}",180.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9147.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9147-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9147-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9147-800.png'}"
330,Alliance Boletée,,,,,,40.0,50.0,,,,,150.0,,,,,,,,,,,10.0,5.0,15.0,10.0,,,,,,10.0,,,,,,,,,10.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9133.0,"{'name': 'Anneau', 'id': 17}",186.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9148.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9148-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9148-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9148-800.png'}"
331,Arc à Lamelles,,,,,50.0,40.0,50.0,,,,,300.0,4.0,,,,,,,,,,,7.0,20.0,,,,,,,,400.0,,,21.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9134.0,"{'name': 'Arc', 'id': 39}",183.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/2061.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/2061-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/2061-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/2061-800.png'}"
332,Baguetterelle,0.0,,16.0,,,40.0,50.0,15.0,,,,300.0,,,,,,,,,,,,5.0,10.0,,,,,50.0,,,,16.0,,,,,,,10.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9135.0,"{'name': 'Baguette', 'id': 65}",180.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/3066.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/3066-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/3066-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/3066-800.png'}"
333,Bâton Champmanique,,,27.0,,50.0,30.0,50.0,,,,,250.0,,,,,,,,,,10.0,,5.0,15.0,,,,50.0,,,,,,,,,1.0,,8.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9136.0,"{'name': 'Bâton', 'id': 125}",191.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/4080.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/4080-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/4080-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/4080-800.png'}"
334,Couteaux à Champignons,0.0,,14.0,,,30.0,,,,,,250.0,3.0,,,,,,,,,,,7.0,15.0,,,,,50.0,,,400.0,14.0,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9137.0,"{'name': 'Dague', 'id': 93}",187.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/5069.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/5069-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/5069-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/5069-800.png'}"
335,Hache à Lamelles,,,23.0,1.0,,30.0,,,,,,250.0,4.0,,,,,,,,,,,10.0,20.0,,,,60.0,,10.0,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9138.0,"{'name': 'Hache', 'id': 73}",157.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/19051.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/19051-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/19051-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/19051-800.png'}"
336,Bottines des sous-bois,,1.0,,1.0,,40.0,,10.0,,,,250.0,,,,,,,,,,10.0,,7.0,30.0,,,,50.0,,,,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9139.0,"{'name': 'Bottes', 'id': 45}",172.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/11115.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/11115-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/11115-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/11115-800.png'}"
337,Chaussons Pignons,,1.0,,,70.0,50.0,,,,,,300.0,,,,,,,10.0,,,,,10.0,10.0,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9140.0,"{'name': 'Bottes', 'id': 45}",181.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/11116.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/11116-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/11116-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/11116-800.png'}"
338,Caprin,,,,,,40.0,,,,,,250.0,3.0,,,,,,10.0,,,,,10.0,30.0,,,10.0,,60.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9141.0,"{'name': 'Cape', 'id': 43}",181.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/17154.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/17154-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/17154-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/17154-800.png'}"
339,Capignon,,,,,,40.0,50.0,,,,,250.0,2.0,,,,,,,,,10.0,,7.0,20.0,,,,,,,10.0,500.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9142.0,"{'name': 'Cape', 'id': 43}",190.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/17150.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/17150-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/17150-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/17150-800.png'}"
